所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,,类型可选值列表,阶段可选值列表
组织机构,检查组织机构下拉框是否可用,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页","1. 使用谷歌浏览器打开项目
2. 点击组织机构下拉框
",下拉框，可以下拉,,高,功能测试,功能测试阶段,,"
功能测试
性能测试
配置相关
安装部署
安全相关
接口测试
其他","
单元测试阶段
功能测试阶段
集成测试阶段
系统测试阶段
冒烟测试阶段
版本验证阶段"
组织机构_部门管理,验证点击部门管理能否弹出页面,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮","1. 使用谷歌浏览器打开项目
2. 点击组织机构下拉框
3.点击部门管理",成功显示部门管理页面,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,"验证添加部门按钮能否点击，
点击后能否弹出添加窗口","1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
","1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮",成功弹出添加部门窗口,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门名称栏输入合理数据能否添加部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮
6.成功弹出添加部门窗口","部门名称：测试部
编号：测试1部
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",弹出提示添加成功,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门名称栏输入收尾空格能否正常添加部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮
6.成功弹出添加部门窗口","部门名称：测  试 部
编号：测试1部
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",弹出提示添加失败，并给出友好提示,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门名称栏输入特殊字符能否正常添加部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮
6.成功弹出添加部门窗口","部门名称：￥￥￥￥
编号：测试1部
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",弹出提示添加失败，并给出友好提示,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门名称栏输入数字能否正常添加部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮
6.成功弹出添加部门窗口","部门名称：11111
编号：测试1部
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",成功弹出添加部门窗口,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门名称栏输入过长字符能否正常添加部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮
6.成功弹出添加部门窗口","部门名称：11111111111111
编号：测试1部
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",弹出提示添加失败，并给出友好提示,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门名称栏输入和谐词能否正常添加部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮
6.成功弹出添加部门窗口","部门名称：卧槽部
编号：测试1部
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",弹出提示添加失败，并给出友好提示,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门栏输入英文能否正常添加部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮
6.成功弹出添加部门窗口","部门名称：abc
编号：测试1部
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",成功弹出添加部门窗口,,高,功能测试,功能测试阶段,,,
