所属模块,用例标题,前置条件,步骤,预期,优先级,用例类型
售后管理,验证正确添加能否添加成功,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.选择保修时间2020-02-09
2.选择保修状态维修
3.选择保修客户
4.点击新增明细
5.选择保修时间2020-02-09
6.输入保修内容保修
7.选择是否解决问题
8.点击保存
9.点击刷新","显示正确,数据正确",高,功能测试
售后管理,验证必填项不选择能不能正确添加,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.不选择保修时间
2.选择保修状态维修
3.选择保修客户
4.点击新增明细
5.选择保修时间2020-02-09
6.输入保修内容保修
7.选择是否解决问题
8.点击保存
9.点击刷新","添加失败,请选择保修时间",高,功能测试
售后管理,验证保修状态选择维护能不能正确显示,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.选择保修时间2020-02-09
2.选择保修状态维护
3.选择保修客户
4.点击新增明细
5.选择保修时间2020-02-09
6.输入保修内容保修
7.选择是否解决问题
8.点击保存
9.点击刷新","显示正确,维护状态为维护",高,功能测试
售后管理,验证保修状态选择过期能不能正确显示,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.选择保修时间2020-02-09
2.选择保修状态过期
3.选择保修客户
4.点击新增明细
5.选择保修时间2020-02-09
6.输入保修内容保修
7.选择是否解决问题
8.点击保存
9.点击刷新","显示正确,维护状态显示为过期",高,功能测试
售后管理,验证选择客户全部显示能不能正确显示,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.选择保修时间2020-02-09
2.选择保修状态过期
3.选择保修客户",显示所有客户,高,功能测试
售后管理,验证点击新增明细后直接点保存能否正确添加,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.选择保修时间2020-02-09
2.选择保修状态过期
3.选择保修客户
4.点击新增明细
5.点击保存",系统提示:保修明细的输入格式不正确,高,功能测试
售后管理,验证点击新增明细后不填点击删除明细能不能删除成功,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.选择保修时间2020-02-09
2.选择保修状态过期
3.选择保修客户
4.点击新增明细
5.点击删除明细",提示信息:请选择进行删除操作!,高,功能测试
售后管理,验证点击新增明细后不填点击取消操作能不能正确取消,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.选择保修时间2020-02-09
2.选择保修状态过期
3.选择保修客户
4.点击新增明细
5.点击取消操作",可以取消,高,功能测试
售后管理,验证点击添加后什么也不选直接点击保存的正确性,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.点击添加
2.点击保存",提示信息:请至少输入一个保修明细,高,功能测试
售后管理,验证点击新增明细后只填写保修时间能不能正确添加,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.选择保修时间2020-02-09
2.选择保修状态过期
3.选择保修客户
4.点击新增明细
5.点击选择保修时间
6.点击保存明细
7.点击保存",提示信息:保修明细格式输入不正确,高,功能测试
售后管理,验证点击新增明细只填写是否解决问题能不能正确添加,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.选择保修时间2020-02-09
2.选择保修状态过期
3.选择保修客户
4.点击新增明细
5.点击选择是否解决问题
6.点击保存明细
7.点击保存",提示信息:保修明细格式输入不正确,高,功能测试
售后管理,验证点击新增明细只填写保修内容能不能正确添加,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.选择保修时间2020-02-09
2.选择保修状态过期
3.选择保修客户
4.点击新增明细
5.点击选择保修内容
6.点击保存明细
7.点击保存",提示信息:保修明细格式输入不正确,高,功能测试
售后管理,验证点击新增明细填写保修时间和保修内容能不能正确添加,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.选择保修时间2020-02-09
2.选择保修状态过期
3.选择保修客户
4.点击新增明细
5.点击选择保修保修时间和保修内容
6.点击保存明细
7.点击保存",提示信息:保修明细格式输入不正确,高,功能测试
售后管理,验证点击新增明细填写保修时间和是否解决问题能不能正确添加,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.选择保修时间2020-02-09
2.选择保修状态过期
3.选择保修客户
4.点击新增明细
5.点击选择保修时间和是否解决问题
6.点击保存明细
7.点击保存",可以添加,高,功能测试
售后管理,验证点击新增明细填写保修内容和是否解决问题能不能正确添加,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.选择保修时间2020-02-09
2.选择保修状态过期
3.选择保修客户
4.点击新增明细
5.点击选择保修内容和是否解决问题
6.点击保存明细
7.点击保存",提示信息:保修明细格式输入不正确,高,功能测试
售后管理,验证不选中保修单点击编辑能不能正确编辑,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修",1.点击编辑,温馨提示:请选中一行后在操作,高,功能测试
售后管理,验证选中客户点击编辑查看界面是否显示正确,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.选中客户
2.点击编辑",显示数据正确,高,功能测试
售后管理,验证修改保修时间能不能正确修改,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.选中客户
2.点击编辑
3.选中保修时间
4.点击保存",显示数据正确,高,功能测试
售后管理,验证修改保修状态为相反的能不能正确修改,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.选中客户
2.点击编辑
3.选中保修状态选择维护
4.点击保存",显示数据正确,高,功能测试
售后管理,验证修改保修状态为相反的能不能正确修改,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.选中客户
2.点击编辑
3.选中保修状态选择过期
4.点击保存",显示数据正确,高,功能测试
售后管理,验证修改保修客户能不能正确修改,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.选中客户
2.点击编辑
3.选中保修客户
4.点击保存",显示数据正确,高,功能测试
售后管理,验证编辑模式下点击新增明细后直接点保存能否正确添加,"1.在谷歌浏览器输入localhost:8082
2.进入后点击售后管理
3.点击保单维修","1.选中客户
2.点击编辑
3.点击新增明细
4.点击保存",系统提示:保修明细的输入格式不正确,高,功能测试
